肖申克的救赎,9.7,1908418人评价,https://movie.douban.com/subject/1292052/,不需要女主角的好电影,恐惧让你沦为囚犯，希望让你重获自由。——《肖申克的救赎》,策划了19年的私奔……,有种鸟是关不住的.,因为1994年台湾引进了一部比较卖座的老片The Sting，被错译成了《刺激》。到了1995年本片上映时，片商觉得其剧情与《刺激》有类似的地方（大概都属于高智商的复仇？），因此被译成了《刺激1995》，1998年又有一部片子Return To Paradise因为含有牢狱情节，被译成《刺激1998》！
菊次郎的夏天,8.8,342059人评价,https://movie.douban.com/subject/1293359/,奇怪，明明夏天总会有能烧焦皮肤的太阳，讨人厌的蚊虫，闷热的空气。但只要有一阵风吹过来，夏天就是一年中最好的季节。,而我只看到了深深的孤独，两个孩子的孤独。,矬大叔也有夏天,那种纯粹的感动与快乐.好久没有感受到了。,过强的风格化有损叙事部分的流畅度，但反而造就出一种非常奇特的空白效应，与人物的怪诞乖张相得益彰。久石让的配乐为影片增色不少，是一部非常有趣而诚挚的作品。
幸福终点站,8.8,363693人评价,https://movie.douban.com/subject/1292274/,我在维克多身上看到了阿甘的影子~~,太好看了，欢笑过后大大的感动。,“Viktor终于明白，这个世界不是按他自己的方式前进的；身处其中，只有为自己挣个好生活。” ,斯皮尔伯格为拍摄建造了一比一大小的航站楼 并作为商场。植入广告的客户入驻营业，广告费成为本片资金，逛商场的顾客成为数量庞大的群众演员。聪明的制片人。直到老师特地赞了一下结尾 关于空姐、爵士歌手的部分，才注意到结局蛮有命运生活的真实感。难得一部主角犯傻能逗乐我的片子。,故事很童话，主题很模糊。不知道是在讽刺制度太死板，还是歌颂工作人员对制度的努力维护。不知道是表现对纽约的自恋，还是批评“纽约不欢迎你”之不友善。不知道是把美国塑造成了各种族的庇护所，还是要体现阶级仇恨。不知道是在说生命的过程就是需要等待，还是在说不要傻傻等待而要果断行动。
爱在日落黄昏时,8.8,336980人评价,https://movie.douban.com/subject/1291990/,他为她写了本书，她为他写了首歌。其实，他们都记得，每个细节。这部就是来还愿的，又是一个开放式的结局。我想这次他们应该不会错过彼此了吧。,她瘦了。好爱她那件黑色小衫，后背开襟。只是从她拥抱他开始，眼泪就往下掉,最后的结尾，杰西坐在沙发上似笑非笑的看着塞林，他一定在想，这个女人太他妈可爱，可爱的想立即上了她，再娶她。,好的不得了的对白,这是我看过的关于男女相遇相爱最美好又最清醒的电影。
超能陆战队,8.7,665304人评价,https://movie.douban.com/subject/11026735/,好想戳爆胖子看会发生什么……,又是一个故事平平只靠细节讨巧的动画，但是没办法，就是超级吃这套啊！！,现在的动画都以卖萌为主题了，比如这里的大白，大概是一个萌熊的体验，或者是会移动的超大棉花糖，这也成为本片主要卖点。影片将迪士尼与漫威结合，人物设定与动作场面确实很漫威，很美漫超级英雄。而主题却还是迪士尼的亲情与成长之类的东西。斯坦李仍有客串，果然不放过每部漫威。,3.5 气球人真是很可爱，比那个贴胶布条的片段还要可爱！感觉短腿要开始流行了。但故事整个太模式化了，情感简单粗暴，感觉自己是婴儿，被喂了一套营养均衡的婴儿餐似的... 整个城市设定让人有点想看日语吹替版...,史上最萌胖子诞生！要抱抱！彩蛋里的斯坦·李也是蛮拼的！
无人知晓,9.1,174796人评价,https://movie.douban.com/subject/1292337/,家中早已经没有了妈妈，生活早已经很拮据，水电早已经停了，今天吃过的泡面汤要留作明天拌饭，喜爱画画就画在水电停用通知单上，从公园偷水饮用，把摔死的妹妹埋掉......这一切，都没有人知道,看完以后，也还是沉默，没有煽情的眼泪，没有明显的愤怒，就和这部电影一样，平静的说一个难过的故事，但没有一个人流泪，甚至连埋怨都没有。被抛弃真的很可怕。,真是可爱的孩子啊。从《距离》之后，是枝裕和的电影就越来越生活化，有些纪实的风格，琐碎的生活细节，两个小孩甚至算不上表演，即兴发挥的表演也让这部电影充满了生活气息。更难得的是，面对这种狗血的题材，是枝裕和却并没有煽情和大喊大叫，只是让所有角色一起忍耐、承受着，连同观众一起,埋葬妹妹时，黑暗中特写哥哥微微颤抖的手，那是一双12岁男孩的小手，它将土慢慢撒到箱子上。死亡的主题再次让人动容。真正理解的生命的人不会在死亡面前别过头去，真正勇敢的人即使在不断的失去中也能找到安顿自己生命的力量，但当这种坚韧出现在这些无人知晓的孩子身上的时候，却只让人感到生之残酷,唯一一部分了三次看完的电影，因为每次看都非常压抑，特别是在情绪很低落的最近。看完后很不舒服，真的很不舒服。我想我再也不想看第2次了。不想再忧心忡忡提心吊胆的看一部电影了。
借东西的小人阿莉埃蒂,8.8,361814人评价,https://movie.douban.com/subject/4202302/,“你永远在我心中，我永远都不会忘记你。”这是一部难得一见的富含诗意和伤感的动画片。细节和人设很棒，赏心悦目；配乐尤其出色，但叙事太过苍白匆忙。最后的轻轻告别，两人往后都会有自己人生，走自己的路，但曾经那段美好依旧会沉淀为一辈子的记忆。★★★★,我相信他们终有一天还会遇见的。,香港首映宫崎峻的借东西的小女孩亚利亚蒂。刚看完出来。观众在亮灯时仍然没人起身，一直到字幕结束。非常唯美，非常感人。我要去下ost。电影给六颗星。,吉卜力的动画里，总有个坚强的姑娘。最后送别时阿莉埃蒂摘下发卡，栗色的头发飘起来，她把它送给翔，说把它带在身边，翔微微睁大眼睛。我就是在这个时候，掉下了眼泪。阿莉埃蒂也掉下眼泪。一年多以来几乎没有什么戳中我泪点的电影。少女说“你保护了我，很开心。”而少年只是轻声呼唤着少女的名字。,她在他的手心，她在他的肩头，她在他的心间。感谢宫崎骏，感谢吉卜力，总是给我们纤尘不染的梦。
神偷奶爸,8.6,667899人评价,https://movie.douban.com/subject/3287562/,绝对史上top 5级别的动画片！！豆瓣评分不上9没天理,90/100。就冲着那个过山车你也得进一次电影院！小猫咪的睡前故事太萌了啊啊啊！！！,这个动画片再次证明了，不怕讲老故事，只需要有颗不老的心。打动人的是里面的小情趣，小可爱，小孤独，坚硬外表下谁都渴望一颗被温暖的心。真的远比toy3得我的心。,密集物恐惧症也不恐惧了 太可爱鸟！,"看到短短胖胖的小药丸， 就觉得好可爱，戈玛幼稚又充满希望的成熟让我心生怜爱。
^_^"
怪兽电力公司,8.7,432429人评价,https://movie.douban.com/subject/1291579/,kitty长得有点像姜文~,买了张蓝光碟，再次重看，画质优秀了，似乎离怪物们更近了，原来毛怪10年前的毛发就这么逼真了。再次感叹皮克斯的创意和想象力，最棒的地方也就是这个创意了，皮克斯的动画片过程可能都很相似，唯独创意个个都很独特。★★★★,您的尖叫就是俺的动力，收集能量的任意门！片尾的伪拍摄片花很有成龙喜剧的style。（|人：妖怪啊！|妖怪：人啊！|——摘自《东成西就》）,因为关心才吓人 ~好萌的怪物们 喜欢死了啊,皮克斯第四部长片，除了一炮而红的玩具总动员以及乘胜的二——以及成绩不佳的虫虫特工队之外的首个大收之作，阖家动画电影标本。
风之谷,8.9,270793人评价,https://movie.douban.com/subject/1291585/,不穿內褲的娜烏西卡公主。,细节：解开那个女孩衣服的时候看到了什么？,在此我们可以见到比卡丘的渊源，可以看到Spike飞船的渊源，可以看到虫师的渊源，也可以看到诸多动画人因此崛起的渊源。,"当女主角在黄金之海上复活的时候,我那发达的泪腺又西里哗啦了..",宫崎骏镜头下的美都是最自然、原始、野性的。设定大胆，配乐大气，可惜影院放的是英文吹替版= =。。。【豆瓣的大家！为什么都在讨论娜乌西卡有没有穿内裤呢！。。。
玩具总动员3,8.8,336076人评价,https://movie.douban.com/subject/1858711/,我87年出生，，看toy 1是小学3年级。看toy3是大学毕业。纯爷们，没哭死我。。。。我想说 这是皮克斯送给我们这代人的一份礼物。再见了，我的童年，谢谢你，皮克斯,前半部分就有好几次想哭的冲动，本来以为这次能够幸免的，没想到最后几分钟那么煽情，简直要哭死了。其实3D效果并没有很出色，但是精彩的剧本真的很让人感动。这不是一部给小孩子的动画，是一部给成人的童话。,结尾的煽情很见水准，但现实中哪里还找得到Andy这样单纯童真的17岁少年呢？！,竟然看动画片看到泪流不止。皮克斯，你真行。,"虽然是动画片，但没有一味地弘扬真善美，也反映了人性丑恶的一面。
比如抱抱熊罗素，它被替代了，它自己要走，还强行要别人也跟着离开。
胡迪救了它一命，它还恩将仇报。
除此之外，它还挑拨离间，企图让巴斯光年背叛朋友。
软的不行就来硬的，将巴斯光年恢复出厂设置，甚至提醒巴斯光年“当心它们对你用反间计”，太可怕了。
幼儿园充满黑暗和邪恶，连玩具也存在金字塔制度，分阶层和等级，有各种明争暗斗。
有卡车队伍巡逻..."
完美的世界,9.1,162669人评价,https://movie.douban.com/subject/1300992/,标准的好莱坞煽情之作，坏人的好总是比好人的好来得更感人~~,老牛仔真是个伟大的导演，总能把人性拍得如此美好而有力量。,哭了 小孩可爱，大叔也很会煽情，烂漫的骨子里还有一颗梦想的心,标准的有点像是教科书里的故事,我这辈子只杀过两个人，一个是伤害我妈妈的人，一个是伤害你的人。这个“你”却是仅仅相识一天的男孩。。同样缺失父爱的两人以这种方式依赖对方。特别安静特别可爱的男孩，以后也要给我孩子穿这样的连体衣！太萌了！
血战钢锯岭,8.7,552365人评价,https://movie.douban.com/subject/26325320/,以我有限的观影经验，优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。这个片子基本都做到了。,队伍配置中奶妈的重要性,救人75命，胜造525级浮屠。,枪林弹雨过，片叶不沾身。信仰没能改变战争，但也没让战争改变自己。梅尔·吉布森的宗教狂热病和个人英雄主义都让我想BB，但因为有本命在闭着眼睛也要给五星啊～（只有加菲才能这么一脸阳光的面对杀戮和暴力，五好青年的笑容太美！！！）,李安想告诉我们英雄是会软弱会迷茫的平凡人，梅尔吉布森告诉我们英雄都是神一样的人。但是这部片的好处是，同样是展现人的神化，它可比手撕鬼子的剧真实多了。大概是因为真正的神从来不觉得自己所做的一切常人难以企及，他只是谦卑地认为自己做的还不够。克制是最大的美德。
上帝之城,8.9,221521人评价,https://movie.douban.com/subject/1292208/,“被上帝抛弃了的上帝之城”一个除了偷窃，强奸、走私、贩毒、杀人、抢劫无处不在的城市，因为这里无需偷窃，而犯罪的几乎都是未成年的孩子，这里是真正的地狱和人性泯灭的地方。高超的剪辑、丰富的剧情、合适的配乐组成一部十分优秀的影片，更加让人震撼的是这部影片是根据真实故事改编。★★★★★,枪杆子里出政权《毛主席思想》,不只枪支，摄影也可以改变命运。血腥暴力、丛林法则以及完全不会出现在明信片上的里约。剪辑酣畅淋漓得像桑巴舞曲。据说奥运期间巴西政府对贫民窟的做法是建堵高墙眼不见为净，我...,这配乐这镜头！！！！,一部震撼人心的电影。是的，这部电影带给人的冲击力之大难以用语言来形容，首先导演的水平很高，拍摄手法和剪辑方式都相当前卫，配乐也是和主题形成了巨大的反差效果，故事越是残酷音乐越是奔放，里约热内卢的贫民窟，世界上最接近地狱的地方，电影真实地还原了那里发生的一切，从孩子开始，无法无天。
傲慢与偏见,8.6,509245人评价,https://movie.douban.com/subject/1418200/,这达西先生是痴呆不是傲慢吧……,"拍得挺美的,拍名著只要不把它拍砸了就是胜利",那个傲慢的人在溢满雾气的晨曦中走来，用最卑微的姿态求你爱他，甚是美好,这一版的每一刻都美得让我心醉。特别是片尾达西从田野的晨雾中向伊丽莎白走来的镜头~,一群发春的女人和一个完美的男人
时空恋旅人,8.7,366475人评价,https://movie.douban.com/subject/10577869/,理查德·柯蒂斯擅长的轻松有趣加温情。时空旅行仅是噱头，重头还是亲情。当主角发现即便可以时空旅行，仍无法避免那些生活的悲剧。比如亲人的离去，我们始终无能为力，这恐怕是最触动我的地方。最终的主题仍是学会爱，学会生活，并珍惜与亲人的每一天，这话说来容易，实际却相当难。生活中同样应该如此,突然悟出一個道理。分分合合的戀情，多半因為其中一方熱切於go back in time，重臨兩人曾經的過往。而另一方並不。,“我试着过好每一天，就像我已经穿越回去那天一样，去享受它，当它是我非凡却又普通人生的最后一天…跌跌撞撞和摔倒都造就了现在的我。” 扔掉可反悔的《人生遥控器》，过好每一天！50%的浪漫爱情+50%的家庭亲情和人生感悟，不如《真爱至上》《海盗电台》浪漫的彻底，却也直抵人心。打个俗分4星。,以为它是软科幻片，结果一开始的感觉，它是个喜剧片，紧接着你发现它是个爱情片，然后你发现它个伦理片，最终，你发现它是鸡汤片。不可否认，这鸡汤还是挺美味的。,本以为这是个爱情喜剧呢，结果不是，而是一个男孩努力的想挽回人生的各种不尽如人意。因为想单纯的拍好一部爱情喜剧，想努力的写点新鲜的爱情桥段实在很难，但即使像本片这样放大到家庭和亲情，依旧是一个让人脑洞大开的俗套流水账，编剧倒是轻松多了，偶尔两三段小亮点而已。★★
电锯惊魂,8.7,339015人评价,https://movie.douban.com/subject/1417598/,为嘛医生不用锯子够手机？,最后五分钟让我全身发抖！,硬伤多，黑人警察傻到爆炸,看第一部的时候着实被他的情节设计给惊讶到了。,哦测那 哦测那 哦测那 哦测那 哦测那 哦测那 哦测那 哦测那 哦测那 哦测那 
喜宴,8.9,228736人评价,https://movie.douban.com/subject/1303037/,看來 高爸爸也是gay  跟張管家有一腿  但是爲了這個家嘛  延續香火 就只好結婚生娃咯,“妈，同性恋的人能够在各方面合得来凑合在一起生活，非常不容易。所以我跟赛门都很珍惜对方。” 李安总能在边缘和传统之间找到恰到好处的平衡点，然后双双将我们击溃。,少年时看过后存在硬盘里，想着哪天出柜时放给母亲看。后来母亲走了，我没能给她一场喜宴，也没能给她看过这部电影。这一生再也没有机会了。今晚我囫囵吞枣地又看了一遍，然后删除，从此没有福分将它留在硬盘里。,作为导演，李安在《喜宴》中的表现还略嫌稚嫩，电影中粗糙的细节比比皆是，远不及《卧虎藏龙》之后的精雕细琢；但从内容与情节上来说，这部我感觉却是李安最精品的几部电影之一：放了很多心血心思上去啊，对文化差异的刻画准确犀利而生动活泼。这部电影李安作为编剧比作为导演更成功。,《喜宴》最好的地方在于拍成了喜剧片，而且真的能让人笑出来，如果板着脸讲这个故事，说不定就味同嚼蜡了。这么多年李安对于乖乖仔的审美一直都没什么变化，从赵文瑄到托比·马奎尔、王力宏和比利林恩，他就是喜欢五官深邃且人畜无害的大男孩。
教父3,8.9,231724人评价,https://movie.douban.com/subject/1294240/,维多·柯里昂死于极乐，旁边是一个机灵的毛孩；麦克·柯里昂死于极悲，旁边是一只棕色的小狗。,可能是因为看电影中途没有被打断，也可能是因为阿尔哥岁数渐增，演技越加成熟，第三部的感觉比第二部好很多。如果说基督山伯爵最重要的五个字是期望和等待，那教父系列的主题就是责任和担当，或者得到和牺牲。教父三部，时间从72年，74年直到跨入90年，还有质有量，科波拉也非凡人。,教父们的遗恨。江山易主、风水轮流转的苦痛。怒火蒙蔽理智。麦克：“文森，你将走向不归路。”暗藏杀机的歌剧音乐会。宗教的介入是一种心灵的救赎，一种精神的寄托。玛莉的死去  阶梯上的红地毯浸满了鲜血。悲剧就是把最好的东西毁坏给你看。,牛逼人物的特质是枪都开不死。帕西诺。,一切始于对家庭的责任，可是最后却让家人处于更危险的处境之中，不归路有时以这样悖论的方式展开。人们都爱你意气风发的初登场，我却独爱你暮年的晚景凄凉，有悔但仍有爱。反正所有人的结局都一样。
谍影重重3,8.8,294898人评价,https://movie.douban.com/subject/1578507/,“如果你在办公室，那我们现在就是面对面谈话了。”这句对白太拽了。,车站和小镇两段，绝对的经典。,谍影重重三部曲，一部比一部好看，有“倒食甘蔗，渐入佳境”之感。难得。,一夫当关万夫莫开。虽然有点神化，但伯恩真是这一行的大师啊~,浓缩版的《24》，回归版的Jack Paul。细节非常到位，情节紧凑到没时间上洗手间。滑铁卢车站那一段经典。
岁月神偷,8.7,438882人评价,https://movie.douban.com/subject/3792799/,“在变幻的生命里， 岁月，原是最大的小偷。”我喜欢这种褪色的温情脉脉。,"人生总是一日难，一日佳。
过去的总归是好日子。",主线太俗套，全靠细节、意象和所谓香港精神支撑。最后小弟弟扔掉英国国旗为了“同亲人重逢”，还真tmd和谐,并未洗净铅华，却用最自然的从容令人动容,最美的香港电影
英雄本色,8.7,333695人评价,https://movie.douban.com/subject/1297574/,Leslie这个萌娃。据说有次Leslie在电影院看午夜场，他跟盆友说：要死了，观众那麼喜欢发仔，而我却是个要抓发仔和我哥哥的警察。 第二部的时候，他开森的说：这回有人同情我了。看我演得多好！我的妻子怀孕生子时，我死佐~,能够把握住自己命运的人，就是神,“做人有原则，就什么都不怕。” 真的不敢说这是我第一次看《英雄本色》，并不需要多么复杂的炫技，好电影从来都很简单纯粹。怀念最好的港片年代。“他有勇气去改过，你有没有没勇气去接受？” 上海电影节4k修复版。,故事情节即使在当年也没什么了不起的。但是狄龙周润发张国荣正好分别代表了儒雅内敛、升级打怪和单纯明朗三种状态，再加上导演功力惊人，所以呈现出行云流水动人心魄的效果。,【新艺城】三个男主演得都不错，但还是周润发的小马哥最精彩，几次直戳泪点都是他和狄龙的对手戏。前面戏份里哥哥灿烂的笑容让人打心底欢喜，如今重温感动满满。徐克做监制，还踩了一脚客串。
七武士,9.2,126864人评价,https://movie.douban.com/subject/1295399/,赢的是那些农民，不是我们。,和教父是一种类型的电影，突出人物性格，故事情节也曲折。最后真的是人民战争海洋。很有几次，都觉得这也可以算一部写中国人的电影，比如农民的狡猾与认命等，到最后的我能！,"志乃的发型很时尚嘛
",怎么说服人，怎样坚持，怎样欲擒故纵、运筹帷幄…无以复加的经典！原来经典并不是多复杂，反而更简单。故事线索逻辑清晰，战斗开始后的每死一个人，观众都能跟导演一样明白清楚。,谁都没赢，即使是村民。
被解救的姜戈,8.7,417718人评价,https://movie.douban.com/subject/6307447/,舒尔茨大夫不远万里，来到米国。一个德国人，毫无利己的动机，把强哥的解放事业当作他自己的事业，这是什么精神？这是国际主义的精神，这是基友主义的精神，每一个好基友都要学习这种精神。,waltz魅力十足 却死的那么酱油。。。,零，有一种类型片，叫昆丁；一，昆丁只拍这种片，但只有昆丁拍这种片；二，此片没那么完美，但已比无耻混蛋用心很多；三，昆丁可能永远再达不到低俗小说的高度，但本作足以革新西部片；四，南方口音蛋疼，有些笑点没听懂，以后我得看中文字幕版；五，原谅我用那么多分号，cuz Ima goddamn programmer.,感觉比《无耻混蛋》都要好看啊！,热血沸腾！三年的等待值了！那个低俗、性感的无耻混蛋又来了！
功夫,8.5,615238人评价,https://movie.douban.com/subject/1291543/,周星驰形式上的巅峰，但是意境已走下神坛,感觉【功夫】应该8.5分以上，同意的点赞,功夫最后结尾所有的角色都以路人出现并不表示这是小男孩的一个幻想，而是说曾经的江湖中人和武林高手，终于都走出恩怨瞅啥，过上了幸福美满的生活，比如神雕侠侣做了普通人，火云邪神指挥起了交通——最大的证据就是，死掉的角色都没有出现，说明故事是真的，不是幻想,电影院里他说，你笑得好开心。,豆瓣连8分都没上 明明很棒 心中可以8分以上 感觉被低估了
疯狂原始人,8.7,592784人评价,https://movie.douban.com/subject/1907966/,梦工厂的动画片做成这样真没什么可哔哔的了。5星走人。,绝对今年最好的动画片！我凯奇叔和石头姐配音赞爆了！泪点低如我最受不了梦工厂煽亲情！后1/3都在为凯奇叔流泪~老掉牙的外来乱入和一家冒险！但架不住拍的好啊！梦工厂拍成这样再老掉牙的设定我也乐意看！人见人爱无可挑剔五星五星！续集快到碗里来！裤腰带和坦克莫名的萌啊！结尾的飞翔太诺亚方舟了！,家庭、爱情、冒险、飞翔、萌物、励志，梦工厂的各种元素几乎齐活了，欢乐如过山车；永远的父女情深，永远的误会冰释，永远的末日脱险，别说幼稚别说俗套，如果影院天天上映这等水准的片子，我也愿意天天去看！,绚丽的3D效果+随机乱入的萌物+搞笑亲情大套路+点睛式的人生说教，人见人爱的作品，想象力和娱乐性爆棚；但捧为神作有些过了，它既没有Pixar经典作品的原创性和灵动感，也缺少梦工厂传统大作的独特个性和贱趣味！,被9.2分吓尿了...8.2最多了...
哪吒闹海,9.1,162729人评价,https://movie.douban.com/subject/1307315/,哪吒要是搁现在，就是一少儿精神病患者：躁郁症、暴力狂、自杀倾向、逆反心理……辅导人员要密切关注他看什么书，听什么音乐，玩什么电脑游戏，业余时间从事什么活动，必须定期参加心理辅导，服用抗躁郁症药……比美国哥伦比亚中学枪击案主谋更犀利的家伙,"哪吒刚刚降生，李靖就想一剑劈了他；
龙王恶人先告状，李靖却丝毫不听哪吒的解释；
哪吒制服了龙王，李靖又叫人把他绑起来；
面对四海龙王的报复，他甚至想杀死哪吒……
是怎样的父亲，才会对自己的亲生骨肉心存偏见？
是怎样的父亲，才会胳膊往外拐，站在别人那边？
是怎样的父亲，才会是非颠倒，不分青红皂白？
并非所有的孩子都是熊孩子，反而是很多父母不配做父母。
在这个“百善孝为先”的国度，《哪吒闹海》没有跟风...",个人认为其中哪吒自杀的情节有很重的虐恋色彩，我小时候第一次看到，内心有一种很奇怪的感觉。,电影真的是时代的产物，小时候看这版的哪吒，不觉得故事有问题，现在再看，才发现这是一个政治味道浓重的故事，传达的价值观念赤裸裸。对比饺子导演对【哪吒之魔童降世】的处理，我命由我不由天的主题又很符合我们当下的主流价值观，哪吒变成了另外一个故事，可能会成为现在这代小朋友的童年回忆，和我们这一代看的哪吒是完全不一样的，可能这就是讲故事的魅力吧。,中国的少年大底上应该要像哪吒的
天书奇谭,9.2,130007人评价,https://movie.douban.com/subject/1428581/,"“你是蛋生的，所以叫蛋生~”

蛋生的师傅好帅啊~~~~~~~~","看了很多遍.喜欢.那个年轻的女狐狸精真美,声音也动人.",年轻狐狸精还真美。袁公乃中国的普罗米修斯呵。,蛋生不是生蛋。,我喜欢这个故事～
心迷宫,8.7,329501人评价,https://movie.douban.com/subject/25917973/,剧本挺有趣的，没有让三段式沦为中国电影常见的山寨故事。电影化处理上有所欠缺（无论一眼可见的演员表现还是画面处理），不知是不是受限于制作成本，不过，作为第一部，确实不错了。中国电影的未来，依然是在乡村和县城啊。,FIRST首部，威尼斯影评人周，锋芒毕露。类低俗小说结构常见，本片运用到本土化题材上，不止讲了个结构花哨的故事，还反映了农村现实问题（劳动力流失等）。导演混过片场，编剧、剪辑都过硬，毫无拖泥带水，细节精打细磨。全职业演员群像出彩，成本200万处女作，相当不错了。导演是诺兰科恩奉俊昊粉,平顶山版科恩兄弟，作为处女作，看到了新一代年轻人的追求,【B+】封闭的村庄，悬疑前置的凶杀，阴差阳错的众生相，故事设定和结构都像极马尔克斯的《一桩事先张扬的谋杀案》，环环相扣互为因果，挖了一堆坑，全部严禁密实的填上，故事编的一个大写的牛逼。除了为审查和怕观众不懂的而妥协的最后十分钟，以及成本问题造成的技术毛糙，五星着实。,挺惊艳。有点感觉是下一个“宁浩”诞生了，但比宁浩更有电影意识。开头一个镜头带四个不同人物关系出场，挺拽。演员尤其是女演员选的到位，和角色特别匹配。最关键的是我几乎从头笑到尾。在这个中国商业电影如同屎一般的年代里，这么精巧聪明又大智若愚的片子像金子一样珍贵。力挺！
真爱至上,8.6,500914人评价,https://movie.douban.com/subject/1292401/,1、每当我对世局倍感忧虑时，就会想到希思罗机场的入境闸口。人们认为世界充满仇恨与贪婪，但我却不同意。在我看来爱无处不在，虽然未必来的轰轰烈烈，但是爱永远存在。父子，母女，夫妻，男朋友，女朋友，老朋友，当飞机撞上世贸大厦时，临终打出的电话，谈的不是报复，而都是爱。如果你肯留意，你会发现爱其实无处不在。love actually is all around.,至少能干掉几十部《全城热恋》吧,寂寞的圣诞夜一个人看这种电影，看完觉得更寂寞了！,"我不明白,如果导演早就决定给个皆大欢喜的结局,为什么又不给得彻底点呢?",像我这样一个对外国电影了解不多的观众，看的时候一直处于“我靠这个人好眼熟，这个人不是那个谁吗，这个人是大牌吧，这个人我知道名字！……”的状态中。
萤火虫之墓,8.7,307450人评价,https://movie.douban.com/subject/1293318/,又精致又催人泪下。可是二战时期的日本一点也不值得让人那么同情,我发誓我再不敢看第二遍,“我们做错了什么？”这话应该由日本人说么，即使是平民？妹妹的神态、动作、配音都绝了。,日本人博取同情的功利 是中国的N倍。,虽然事先知道这是个煽情的片子，知道它注定是个悲剧，还是哭了。告诉你这是个悲伤电影，在你准备好的情况下，还能达到效果，的确是个好片子
三块广告牌,8.7,579204人评价,https://movie.douban.com/subject/26611804/,这部竟然拍得非常温柔，有点落寞和伤感，看完会被人的善良所打动。虽然确实有些天真，但还是好爱这样的电影，会让你很享受这个故事。当然，导演之前擅长的喜剧部分仍然很到位。几个演员都非常出色，女主和两个男配，写得好，演得更好。挺奥斯卡的片，应该能有斩获吧。,#Venice2017# 影后已出。真是教科书一般的好剧本，破了不少套路，人物塑造十分生动。再加上导演控制力很强，不乏幽默感，也有不错的社会观察。对仇恨与愤怒的探讨颇有与当下社会状况的契合点。,太精彩了，实在想不到今年还有什么影片可以挑战。剧情音乐节奏摄影都接近满分，更可贵的是除了女主弗兰西斯的超水准表演之外，剩下所有演员的演出都精彩到可以颁最佳群戏。由于不妥协与不谅解所引发一系列悲剧，但是悲剧中更有合理的人性，戾气重的浪漫诗。从第一幕路过告示牌咬指甲就最佳女主内定了。,蹦出一条小鹿这个必须减分了…而且还那么像CG做的…,3.5 电影咋看很酷，美国乡村天注定，被人欺负了24小时内一定要报仇。剧作也确实比较大胆，很大的梗就这样撂下了也不觉得哪不对。演员也都很好，还很好笑。但警长一封信道出了内核的问题：你们这样主要是因为缺乏善良友爱。这不对吧，如果这些红脖缺的真的是爱，一年前他们怎么会去投川普呢
纵横四海,8.8,271099人评价,https://movie.douban.com/subject/1295409/,香港影史最赞三人行,有新武侠的潇洒。        “其实爱一个人并不是要跟她一辈子的。我喜欢花，难道你摘下来让我闻；我喜欢风，难道你让风停下来；我喜欢云，难道你就让云罩着我；我喜欢海，难道我就去跳海？”,发哥在轮椅上和红姑共舞，忘不了啊……,优雅——除了这两个字，我不知道怎样表达爱慕之情啦。," 红姑息影了，发哥老了，张国荣走了，香港电影的辉煌远去了。这些陪伴着我们长大的电影也要被遗忘了。
  真是“春梦了无痕”。"
我是山姆,8.9,197396人评价,https://movie.douban.com/subject/1306861/,真正的戏眼是达科塔·范宁。她才是催泪的原动力,父亲节看这电影真是应景。里面的小姑娘，原来真的是老友记1014里面卖房子夫妇的女儿McKenzie  —— 世故地吓人，凭什么她这样就感人至深，林妙可就受尽唾弃？？？不公平,人与人的爱，不是被任何一个条件所限制的 而是出于本能。,“lucy in the sky with diamonds……”十分的亲情，十分的爱，爱的能力并不是取决于智商的高低。原声好，主题好，演员好，但就是有些拖沓与着力过猛。★★★★,雨人版的克莱默夫妇，编剧对山姆的角色塑造并不成功，山姆成了一个行为上有缺陷的正常人，他的处事和思维看起来其实挺正常。西恩.潘对角色的演绎是完美的，范宁的表现也非常成熟。部分剪辑和镜头感有点晕。但是还是打动了我
达拉斯买家俱乐部,8.8,308325人评价,https://movie.douban.com/subject/1793929/,用最轻松的态度拍出了最沉重的题材，完全不加煽情的感染人心。男演员们演技都大发了，今年Jared Leto不拿最佳男配我特么就撕逼！！！！,Jared Leto的腿比女人还美！！！Jared Leto的腿比女人还美！！！Jared Leto的腿比女人还美！！！Jared Leto的腿比女人还美！！！【说正事，这热血抗艾片真是百年难遇地好啊，仔细想想，能把life outweighs money这种俗道理包在热血的外衣下讲得这么动情深刻。fuck yea cowboy!!!!,一流的表演，除口音尚可辨识，麦康纳已经完全成为了剧中人，Leto的表现也非常惊人，值得敬佩。平凡人在不平凡的状态下做出了超凡的选择，一个混混到民权斗士的转变之路，人终于超越了疾病。,根据真实事件改编的纯剧情拍到这份上值了 男主男配的演技真心狂赞！,根据真人真事改编，生动再现了80年代艾滋病患者的生活状态和维权运动。从患者到药贩子本身就很励志，更何况他们对内不放弃生命、消除内部偏见；对外利大于弊的走私药与弊大于利的药监局之间相抗衡，温暖有力。两位演员真是用生命在演戏啊，用演技撑满全片！
